ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051656	establishment of organelle localization	191/4985	455/16472	5.286272907615487e-8	1.8924680115311172e-4	1.6960661329085678e-4	STARD3NL/CENPA/RPS15/PAX6/LIN7A/FBXW11/CSNK1D/LAT2/KIF5A/KIF5B/ZWILCH/CD300A/CD84/TRAPPC5/UXT/MAPT/DNM1/ATP13A2/SIRT2/TRAPPC3/GATA1/ACTN4/RAN/CTNNB1/MYH9/CDCA5/EXOC6B/PDCD6IP/PARD3B/CDK5RAP2/SYNJ1/TRAK1/DLG1/LRPPRC/STK25/SPC24/AP3S2/MAP4K2/SPHK2/LSG1/XPO1/CUL3/MLH1/DNM1L/ECT2/SEPTIN5/TRAPPC12/BBS5/PPFIA2/PTGDS/SDCBP/EIF6/KNSTRN/AP1G1/ANKRD53/SUN1/LMNB1/VAMP7/BORCS8/PMF1/LGALS9/SNX4/TBC1D23/HNRNPU/PIK3CD/RABGEF1/PDCD10/RAB7A/EML3/EXOC6/NUF2/HDAC6/SDAD1/CCNB1/TRAPPC13/SNCA/PDCD6/TRAPPC11/AP3S1/DTNBP1/ABCE1/SNF8/BBS7/CEP120/COPG1/RIOK2/ABRAXAS1/SPDL1/UCHL1/LMNA/COPS5/SNAP91/CHMP7/FAM91A1/UBXN2B/RMDN1/ARFGAP2/INSC/ATM/HOOK3/TRAPPC4/TCIRG1/PICALM/MAJIN/SYBU/KNL1/AP3B2/RAB6A/ACTR10/BICD1/RACGAP1/DCTN2/BLOC1S1/CEP83/SYNE2/PTGDR/CLMN/PSEN1/MYO1A/EXOC5/TRAPPC6B/TMED10/IRAG2/CHGA/NUSAP1/TERB1/BBS2/RHOT2/BLOC1S6/SNAP23/IL4R/RAB11A/CLN3/SPIRE2/CDH3/KIF22/CHMP6/HGS/NUP88/NDE1/RHOT1/SPAG5/LLGL2/AURKB/TSG101/NDEL1/UNC13D/BECN1/BLOC1S3/TRAPPC6A/AP3D1/VPS4B/DNM2/AP1M2/STK11/MAP1S/KXD1/ADGRE2/NLRP5/MYO1F/ENKD1/MILR1/TMEM230/MYO19/IL4/CBL/DOCK7/ARHGAP21/STXBP1/GPSM2/SPAST/OPA1/TOR1A/MYO6/TFG/CHMP1A/GBF1/MARK1/YKT6/KIF5C/TERF1/NPM1/LRRK2/DYNC1H1/FMN2/SPG11/MCPH1/MYO5A/AP3B1/BTK/RASGRP1	191
GO:0002181	cytoplasmic translation	78/4985	153/16472	6.126474624574675e-8	1.8924680115311172e-4	1.6960661329085678e-4	RPS20/RPL18/RPS19/RPS13/YBX3/RPS12/RPS15/EIF3K/RPL27/RPL8/RPL21/RPS3A/RPLP2/RPL10A/RPS2/RPS10/RPL35/HNRNPD/RPL15/EIF3I/RPLP1/RPS24/RPL12/MCTS1/RPL11/RACK1/RPS6/EIF3L/RPL24/RPL23/MCTS2/RPL36/RPL34/RPL32/EIF3B/RPS27A/RPS7/RPL31/DRG1/RPL35A/YBX1/RPS18/RPL37A/SYNCRIP/DRG2/RPL13A/RPL36A/FMR1/RPL29/HNRNPU/RBM24/RPS23/EIF3E/PABPC1/RPL27A/FAU/RPS3/RPS25/EIF3M/RBM4/METTL3/RPL28/RPS15A/RPL13/IMPACT/RPL17/RPL26/RPL38/EIF3G/UBA52/RPS5/RPS16/RPS28/EIF3F/AARS1/EIF4G1/RPL19/RPSA	78
GO:0008380	RNA splicing	179/4985	432/16472	3.9531533743104527e-7	6.862782839744618e-4	6.15055762162115e-4	STRAP/CACTIN/LSM5/RPS13/LUC7L3/THOC2/GRSF1/ARVCF/CLNS1A/HNRNPLL/MBNL1/CELF6/CELF5/TAF6L/CCNL1/JMJD6/PPIH/ZRSR2/RBM44/CELF4/DYRK1A/RBM38/SMN1/PRPF40A/HNRNPA2B1/THOC5/ESRP1/CELF1/QKI/RBM15/MBNL3/SUPT3H/PPIE/ZBTB8OS/DDX39B/RBM3/SMN1/HNRNPL/CLASRP/HNRNPA3/RBM19/ILDR1/NSRP1/RBM39/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/PPIL2/PPIG/CELF2/RBMY1D/RBM6/RNPC3/CCNL2/SRSF7/WDR83/TTF2/GCFC2/RBMX/SART3/CWF19L2/CLK1/YBX1/FAM98A/RBM5/ARL6IP4/RBM14/SYNCRIP/PAXBP1/SF3A1/PRMT7/LUC7L2/SFPQ/U2AF1/KAT2A/RSRP1/ACIN1/TIA1/FMR1/SRSF11/FXR1/HNRNPU/SRSF3/TARDBP/RSRC1/PRPF4B/PTBP2/CWF19L1/NOVA1/ISY1/RBM28/SRSF10/ARB2A/PLRG1/RBM24/MTREX/DDX46/DDX41/PPWD1/THOC3/HNRNPH1/ENY2/PABPC1/CLK4/SREK1/LSM1/RBM4B/RBM25/WT1/CENATAC/RBM4/SUGP1/METTL3/STH/RBM7/TRPT1/MAGOHB/DDX23/PNN/PRMT5/NRDE2/DNAJC17/USB1/CLK3/TXNL4B/ESRP2/DHX38/RNPS1/PRPF8/SRRM2/SNRPD1/THOC1/DDX5/TSEN54/SRSF1/SUPT6H/ARMC7/U2AF2/CIRBP/U2AF1L4/DHX8/GEMIN7/KHSRP/SNRNP70/SUGP2/LSM4/SRRM1/HNRNPM/SCNM1/TAF15/AKAP8L/CWC25/REST/METTL14/SNRNP48/IWS1/TSEN15/PQBP1/SRSF6/KHDRBS2/NCL/PTBP1/DDX1/HNRNPA1/NONO/NPM1/TSEN2/DDX20/RP9/KDM1A/CWC27/RBM8A/LARP7/RBFOX2	179
GO:0002706	regulation of lymphocyte mediated immunity	87/4985	182/16472	4.514672691064103e-7	6.862782839744618e-4	6.15055762162115e-4	PVR/ULBP1/CD80/DENND1B/CR1L/KMT5B/ZP3/HFE/SUSD4/B2M/NSD2/CD46/KIR2DL4/HLA-G/CR2/ULBP3/RAET1L/ULBP2/RAET1G/SLAMF6/CD1E/TREM2/HLA-DRA/AGER/NCR3/HLA-C/MAD2L2/SLC15A4/ARRB2/KLRC3/IL4I1/KLRK1/PTPN6/HMGB1/IL6/CEACAM1/SLC22A13/MICA/LILRB1/C4BPA/PPP3CB/MLH1/CD1C/KMT5C/APLF/BCL6/AP1G1/PAXIP1/HLA-F/CD40/LGALS9/IL20RB/SH2D1A/CD96/LILRB4/NOD2/CD81/KLRC2/P2RX7/KLRC1/KLRD1/CD226/THOC1/SUPT6H/TRPM4/DUSP22/IL4/CD55/MALT1/STAT6/ARG1/IL18R1/HSPD1/EXOSC3/RSAD2/BTK/C3/HLA-B/HLA-DRB1/HAVCR2/IL23R/RASGRP1/TFRC/STAT5B/TNF/PMS2/MAP3K7	87
GO:0006397	mRNA processing	190/4985	465/16472	5.554210779981076e-7	6.862782839744618e-4	6.15055762162115e-4	STRAP/CACTIN/LSM5/LUC7L3/APOBEC2/THOC2/GRSF1/PNPT1/ARVCF/CLNS1A/HNRNPLL/MBNL1/CELF6/CELF5/JMJD6/PPIH/ZRSR2/RBM44/CELF4/DYRK1A/CDK11B/RBM38/SMN1/PRPF40A/HNRNPA2B1/RPRD1A/THOC5/ESRP1/CELF1/CDK11A/QKI/RBM15/MBNL3/PPIE/NBDY/DDX39B/RBM3/SMN1/ADARB2/HNRNPL/CLASRP/HNRNPA3/RBM19/NSRP1/RBM39/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/PAF1/PPIL2/CELF2/RBMY1D/RBM6/RNPC3/SRSF7/WDR83/RPUSD3/TTF2/GCFC2/RBMX/SART3/CWF19L2/YBX1/RBM5/ARL6IP4/RBM14/SYNCRIP/PAXBP1/SF3A1/PRMT7/SRRT/PAPOLG/SAFB/LUC7L2/SFPQ/U2AF1/RSRP1/ACIN1/TIA1/FMR1/CSTF2/SRSF11/FXR1/CMTR1/HNRNPU/TUT1/SRSF3/TARDBP/RSRC1/PRPF4B/PTBP2/CWF19L1/NOVA1/ISY1/RBM28/CSTF1/SLTM/RPRD1B/SRSF10/ARB2A/PLRG1/RBM24/MTREX/DDX46/FIP1L1/DDX41/PPWD1/THOC3/PTCD2/HNRNPH1/PABPC1/SREK1/LSM1/RBM4B/RBM25/HSF1/CPSF1/CENATAC/RBM4/SUGP1/CPSF7/METTL3/STH/RBM7/MAGOHB/DDX23/PNN/PRMT5/PABPN1/CHD8/NRDE2/DNAJC17/ERN2/TXNL4B/ESRP2/DHX38/RNPS1/PRPF8/SRRM2/SNRPD1/THOC1/DDX5/TSEN54/SRSF1/SUPT6H/ARMC7/U2AF2/CIRBP/U2AF1L4/DHX8/DUS3L/APLP1/GEMIN7/KHSRP/SNRNP70/SUGP2/LSM4/SRRM1/HNRNPM/SCNM1/AKAP8L/CWC25/REST/METTL14/SNRNP48/IWS1/TSEN15/CDC73/ZC3H14/PQBP1/SRSF6/KHDRBS2/NCL/PTBP1/DDX1/HNRNPA1/NONO/NPM1/TSEN2/DDX20/KDM1A/CWC27/RBM8A/LARP7/RBFOX2	190
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	87/4985	185/16472	1.0821157418579017e-6	0.0010344608966701802	9.271036984350494e-4	PVR/ULBP1/CD80/DENND1B/CR1L/KMT5B/ASCL2/ZP3/HFE/SUSD4/B2M/NSD2/CD46/HLA-G/CR2/ULBP3/RAET1L/ULBP2/RAET1G/CD1E/TREM2/HLA-DRA/AGER/HLA-C/MAD2L2/SLC15A4/CCL19/IL4I1/RC3H2/PTPN6/HMGB1/IL6/CEACAM1/SLC22A13/MICA/LILRB1/C4BPA/PPP3CB/MLH1/CD1C/KMT5C/APLF/BCL6/PAXIP1/CLEC7A/HLA-F/CD40/SLC11A1/IL20RB/CARD9/LILRB4/MEF2C/RIPK2/NOD2/CD81/TYK2/P2RX7/KLRC1/KLRD1/BATF/IL4R/CD226/THOC1/SUPT6H/TRPM4/DUSP22/IL4/CD55/MALT1/SOCS5/STAT6/ARG1/IL18R1/HSPD1/EXOSC3/RSAD2/BTK/C3/ADA/HLA-B/HLA-DRB1/HAVCR2/IL23R/TFRC/TNF/PMS2/MAP3K7	87
GO:0000375	RNA splicing, via transesterification reactions	127/4985	293/16472	1.230200755214132e-6	0.0010344608966701802	9.271036984350494e-4	STRAP/CACTIN/LSM5/LUC7L3/CLNS1A/CELF6/CELF5/JMJD6/PPIH/ZRSR2/RBM44/CELF4/DYRK1A/SMN1/PRPF40A/HNRNPA2B1/CELF1/QKI/RBM15/PPIE/DDX39B/RBM3/SMN1/HNRNPL/HNRNPA3/RBM19/NSRP1/RBM39/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/CELF2/RBMY1D/RBM6/RNPC3/SRSF7/WDR83/GCFC2/RBMX/SART3/CWF19L2/RBM5/RBM14/SYNCRIP/PAXBP1/SF3A1/PRMT7/LUC7L2/SFPQ/U2AF1/RSRP1/TIA1/FMR1/FXR1/HNRNPU/SRSF3/RSRC1/PRPF4B/PTBP2/CWF19L1/NOVA1/ISY1/SRSF10/ARB2A/PLRG1/RBM24/MTREX/DDX46/DDX41/PPWD1/HNRNPH1/PABPC1/LSM1/RBM4B/RBM25/CENATAC/RBM4/METTL3/STH/RBM7/MAGOHB/DDX23/PNN/PRMT5/DNAJC17/TXNL4B/ESRP2/DHX38/RNPS1/PRPF8/SRRM2/SNRPD1/DDX5/SRSF1/U2AF2/CIRBP/U2AF1L4/DHX8/GEMIN7/KHSRP/SNRNP70/LSM4/SRRM1/HNRNPM/SCNM1/CWC25/REST/METTL14/PQBP1/SRSF6/KHDRBS2/NCL/PTBP1/DDX1/HNRNPA1/NPM1/DDX20/KDM1A/CWC27/RBM8A/LARP7/RBFOX2	127
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	125/4985	289/16472	1.6985054911470862e-6	0.0010344608966701802	9.271036984350494e-4	STRAP/CACTIN/LSM5/LUC7L3/CLNS1A/CELF6/CELF5/JMJD6/PPIH/ZRSR2/RBM44/CELF4/DYRK1A/SMN1/PRPF40A/HNRNPA2B1/CELF1/QKI/RBM15/PPIE/DDX39B/RBM3/SMN1/HNRNPL/HNRNPA3/RBM19/NSRP1/RBM39/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/CELF2/RBMY1D/RBM6/RNPC3/SRSF7/WDR83/GCFC2/RBMX/SART3/CWF19L2/RBM5/RBM14/SYNCRIP/PAXBP1/SF3A1/PRMT7/LUC7L2/SFPQ/U2AF1/RSRP1/TIA1/FMR1/FXR1/HNRNPU/SRSF3/RSRC1/PRPF4B/PTBP2/CWF19L1/NOVA1/ISY1/SRSF10/ARB2A/PLRG1/RBM24/MTREX/DDX46/DDX41/PPWD1/HNRNPH1/PABPC1/RBM4B/RBM25/CENATAC/RBM4/METTL3/STH/RBM7/MAGOHB/DDX23/PNN/PRMT5/DNAJC17/TXNL4B/ESRP2/DHX38/RNPS1/PRPF8/SRRM2/SNRPD1/DDX5/SRSF1/U2AF2/CIRBP/U2AF1L4/DHX8/GEMIN7/SNRNP70/LSM4/SRRM1/HNRNPM/SCNM1/CWC25/REST/METTL14/PQBP1/SRSF6/KHDRBS2/NCL/PTBP1/DDX1/HNRNPA1/NPM1/DDX20/KDM1A/CWC27/RBM8A/LARP7/RBFOX2	125
GO:0000398	mRNA splicing, via spliceosome	125/4985	289/16472	1.6985054911470862e-6	0.0010344608966701802	9.271036984350494e-4	STRAP/CACTIN/LSM5/LUC7L3/CLNS1A/CELF6/CELF5/JMJD6/PPIH/ZRSR2/RBM44/CELF4/DYRK1A/SMN1/PRPF40A/HNRNPA2B1/CELF1/QKI/RBM15/PPIE/DDX39B/RBM3/SMN1/HNRNPL/HNRNPA3/RBM19/NSRP1/RBM39/LUC7L/TFIP11/USP39/SF3B1/GEMIN2/SNRNP35/SF1/PPIL3/CELF2/RBMY1D/RBM6/RNPC3/SRSF7/WDR83/GCFC2/RBMX/SART3/CWF19L2/RBM5/RBM14/SYNCRIP/PAXBP1/SF3A1/PRMT7/LUC7L2/SFPQ/U2AF1/RSRP1/TIA1/FMR1/FXR1/HNRNPU/SRSF3/RSRC1/PRPF4B/PTBP2/CWF19L1/NOVA1/ISY1/SRSF10/ARB2A/PLRG1/RBM24/MTREX/DDX46/DDX41/PPWD1/HNRNPH1/PABPC1/RBM4B/RBM25/CENATAC/RBM4/METTL3/STH/RBM7/MAGOHB/DDX23/PNN/PRMT5/DNAJC17/TXNL4B/ESRP2/DHX38/RNPS1/PRPF8/SRRM2/SNRPD1/DDX5/SRSF1/U2AF2/CIRBP/U2AF1L4/DHX8/GEMIN7/SNRNP70/LSM4/SRRM1/HNRNPM/SCNM1/CWC25/REST/METTL14/PQBP1/SRSF6/KHDRBS2/NCL/PTBP1/DDX1/HNRNPA1/NPM1/DDX20/KDM1A/CWC27/RBM8A/LARP7/RBFOX2	125
GO:0002819	regulation of adaptive immune response	92/4985	200/16472	1.7847146865198063e-6	0.0010344608966701802	9.271036984350494e-4	PVR/ULBP1/CD80/DENND1B/CR1L/KMT5B/ASCL2/ZP3/HFE/SUSD4/B2M/NSD2/CD46/HLA-G/CR2/ULBP3/RAET1L/ULBP2/RAET1G/CD1E/TREM2/HLA-DRA/AGER/HLA-C/MAD2L2/SLC15A4/CCL19/IL4I1/RC3H2/PTPN6/HMGB1/IL6/CEACAM1/SLC22A13/MICA/LILRB1/C4BPA/PPP3CB/MLH1/IRF1/CD1C/KMT5C/APLF/BCL6/PAXIP1/CLEC7A/HLA-F/CD40/IRF7/SLC11A1/IL20RB/CARD9/LILRB4/MEF2C/IL6ST/RIPK2/NOD2/CD81/TYK2/P2RX7/KLRC1/ADCY7/KLRD1/BATF/IL4R/CD226/THOC1/SKAP1/SUPT6H/TRPM4/DUSP22/IL4/CD55/MALT1/SOCS5/STAT6/ARG1/IL18R1/HSPD1/EXOSC3/RSAD2/BTK/C3/ADA/HLA-B/HLA-DRB1/HAVCR2/IL23R/TFRC/TNF/PMS2/MAP3K7	92
